rand_urban_dist,rand_non_urb_dist,leaid,nlscdsch,sch_name,lea_name,lcity,fipst,lstate,cnty,nmcnty,lat,lon,lstreet,lzip,title_one,sch_level,gslo,gshi,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,school_sample
1,,4108830,410883001584,El Puente,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.44174,-122.634378,11250 SE 27th Ave,97222,1,Elementary,KG,5,57,58,54,31,29,,,,,,,,0
1,,4108830,410883000076,Happy Valley Elementary School,NORTH CLACKAMAS SD 12,HAPPY VALLEY,41,OR,41005,CLACKAMAS COUNTY,45.447685,-122.517861,13865 SE King Rd,97086,0,Elementary,KG,5,71,74,78,72,68,,,,,,,,0
1,,4108830,410883001354,Mount Scott Elementary School,NORTH CLACKAMAS SD 12,HAPPY VALLEY,41,OR,41005,CLACKAMAS COUNTY,45.442464,-122.56469,11201 SE Stevens Rd,97086,0,Elementary,KG,5,59,56,59,71,83,,,,,,,,0
1,,4108830,410883001583,New Urban High School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.417068,-122.643219,1901 SE Oak Grove Blvd,97267,0,High,9,12,,,,,,,,,13,30,41,73,1
1,,4108830,410883000092,Rowe Middle School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.432855,-122.626616,3606 SE Lake Rd,97222,0,Middle,6,8,,,,,,267,255,260,,,,,1
1,,4108830,410883001782,Happy Valley Middle School,NORTH CLACKAMAS SD 12,HAPPY VALLEY,41,OR,41005,CLACKAMAS COUNTY,45.447685,-122.517861,13865 SE King Rd,97086,0,Middle,6,8,,,,,,373,346,374,,,,,0
1,,4108830,410883000095,Putnam High School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.400313,-122.610001,4950 SE Roethe Rd,97267,0,High,9,12,,,,,,,,,304,312,266,262,0
1,,4108830,410883001777,Verne A Duncan Elementary School,NORTH CLACKAMAS SD 12,HAPPY VALLEY,41,OR,41005,CLACKAMAS COUNTY,45.413215,-122.485875,14898 SE Parklane Dr,97015,0,Elementary,KG,5,102,92,90,107,99,,,,,,,,0
1,,4108830,410883001484,Oak Grove Elementary,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.424418,-122.641823,2150 SE Torbank Rd,97222,1,Elementary,KG,5,52,73,59,53,51,,,,,,,,0
1,,4108830,410883001317,Sojourner School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.436305,-122.600403,11909 SE Linwood Ave,97222,0,Elementary,KG,5,28,28,29,29,27,,,,,,,,0
1,,4108830,410883000079,Linwood Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.436305,-122.600403,11909 SE Linwood Ave,97222,1,Elementary,KG,5,55,46,56,58,53,,,,,,,,0
1,,4108830,410883000087,View Acres Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.417451,-122.613045,4828 SE View Acres Rd,97267,0,Elementary,KG,5,85,62,61,90,81,,,,,,,,0
1,,4108830,410883000084,Riverside Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.404482,-122.639532,16303 SE River Rd,97267,1,Elementary,KG,5,71,66,67,86,70,,,,,,,,1
1,,4108830,410883000086,Sunnyside Elementary School,NORTH CLACKAMAS SD 12,CLACKAMAS,41,OR,41005,CLACKAMAS COUNTY,45.425933,-122.528861,13401 SE 132nd Ave,97015,0,Elementary,KG,5,83,88,110,77,112,,,,,,,,0
1,,4108830,410883000080,Whitcomb Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.442522,-122.587249,7400 SE Thompson Rd,97222,1,Elementary,KG,5,44,72,72,96,86,,,,,,,,0
1,,4108830,410883001775,Scouters Mountain Elementary,NORTH CLACKAMAS SD 12,HAPPY VALLEY,41,OR,41005,CLACKAMAS COUNTY,45.44361,-122.487931,10811 SE 172nd Ave,97086,0,Elementary,KG,5,83,97,93,91,86,,,,,,,,0
1,,4108830,410883000008,Oregon Trail Elementary School,NORTH CLACKAMAS SD 12,CLACKAMAS,41,OR,41005,CLACKAMAS COUNTY,45.421934,-122.508347,13895 SE 152nd Dr,97015,0,Elementary,KG,5,109,83,80,93,80,,,,,,,,1
1,,4108830,410883004189,Alder Creek Middle School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.423276,-122.594246,13801 SE Webster Rd,97267,0,Middle,6,8,,,,,,324,333,302,,,,,1
