,school,district,city,state,county,address,zip,school_sample,cleaned
0,El Puente,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11250 SE 27th Ave,97222,0,Elementary Puente
1,Happy Valley Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,13865 SE King Rd,97086,0,Happy Valley Elementary School
2,Mount Scott Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,11201 SE Stevens Rd,97086,0,Mount Scott Elementary School
3,New Urban High School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,1901 SE Oak Grove Blvd,97267,1,New Urban High School
4,Rowe Middle School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,3606 SE Lake Rd,97222,1,Rowe Middle School
5,Happy Valley Middle School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,13865 SE King Rd,97086,0,Happy Valley Middle School
6,Putnam High School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,4950 SE Roethe Rd,97267,0,Putnam High School
7,Verne A Duncan Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,14898 SE Parklane Dr,97015,0,Verne A Duncan Elementary School
8,Oak Grove Elementary,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,2150 SE Torbank Rd,97222,0,Oak Grove Elementary School
9,Sojourner School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11909 SE Linwood Ave,97222,0,Sojourner School
10,Linwood Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11909 SE Linwood Ave,97222,0,Linwood Elementary School
11,View Acres Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,4828 SE View Acres Rd,97267,0,View Acres Elementary School
12,Riverside Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,16303 SE River Rd,97267,1,Riverside Elementary School
13,Sunnyside Elementary School,North Clackamas Sd 12,Clackamas,OR,Clackamas County,13401 SE 132nd Ave,97015,0,Sunnyside Elementary School
14,Whitcomb Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,7400 SE Thompson Rd,97222,0,Whitcomb Elementary School
15,Scouters Mountain Elementary,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,10811 SE 172nd Ave,97086,0,Scouters Mountain Elementary School
16,Oregon Trail Elementary School,North Clackamas Sd 12,Clackamas,OR,Clackamas County,13895 SE 152nd Dr,97015,1,Oregon Trail Elementary School
17,Alder Creek Middle School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,13801 SE Webster Rd,97267,1,Alder Creek Middle School
18,Spring Mountain Elementary School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,11645 SE Masa Ln,97086,0,Spring Mountain Elementary School
19,Lewelling Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,5325 SE Logus Rd,97222,0,Lewelling Elementary School
20,Ardenwald Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,8950 SE 36th St,97222,0,Ardenwald Elementary School
21,Milwaukie High School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,2301 SE Willard St.,97222,1,Milwaukie High School
22,Milwaukie Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,11250 SE 27th Ave,97222,0,Milwaukie Elementary School
23,Bilquist Elementary School,North Clackamas Sd 12,Milwaukie,OR,Clackamas County,15708 SE Webster Rd,97267,0,Bilquist Elementary School
24,Rock Creek Middle School,North Clackamas Sd 12,Happy Valley,OR,Clackamas County,14897 SE Parklane Dr,97015,0,Rock Creek Middle School
25,Clackamas High School,North Clackamas Sd 12,Clackamas,OR,Clackamas County,14486 SE 122nd Ave,97015,0,Clackamas High School
26,Phyllis R. Miller Elementary School,Dade,Miami,FL,Miami-Dade County,840 NE 87TH ST,33138,0,Phyllis R. Miller Elementary School
