lea_name,lstate,sch_name,sch_level,school_link,different from district?,learning platform?,learning platform_name,date collected,pdf,notes,collected by
ADELANTO ELEMENTARY,CA,Eagle Ranch Elementary,Elementary,https://www.aesd.net/ers/home,0,,,03/30/2020,0,,Cathy
ADELANTO ELEMENTARY,CA,Adelanto Elementary,Elementary,https://www.aesd.net/aes/home,0,,,03/30/2020,0,,Cathy
ADELANTO ELEMENTARY,CA,Melva Davis Academy of Excellence,Middle,https://www.aesd.net/13/Home,0,,,03/30/2020,0,,Cathy
ADELANTO ELEMENTARY,CA,Mesa Linda Middle,Middle,https://www.aesd.net/mlms/home,0,,,03/30/2020,0,,Cathy
BALTIMORE CITY PUBLIC SCHOOLS,MD,Hamilton Elementary/Middle,Elementary,https://www.hamiltonelementarymiddle.org/,NA,,,03/30/2020,,no mention of covid,Cathy
BALTIMORE CITY PUBLIC SCHOOLS,MD,Liberty Elementary,Elementary,https://libertyelementary64.weebly.com/home-resources.html,1,,,03/30/2020,0,"have their own ""home learning resources page"" and also link to Baltimore covid site",Cathy
BALTIMORE CITY PUBLIC SCHOOLS,MD,Edmondson-Westside High,High,https://www.edmondson-westside.org/apps/events2/event.jsp?eREC_ID=2891782&d=2020-03-30&id=0,0,,,03/30/2020,0,"only have date of extended school closure, no covid-related resources",Cathy
BALTIMORE CITY PUBLIC SCHOOLS,MD,Frederick Douglass High,High,http://www.fdhsbaltimore.org/,NA,,,03/30/2020,,no mention of covid,Cathy
BALTIMORE CITY PUBLIC SCHOOLS,MD,Booker T. Washington Middle,Middle,NA,NA,,,03/30/2020,,no official school website,Cathy
BETHLEHEM AREA SD,PA,Fountain Hill El Sch,Elementary,https://basdwpweb.beth.k12.pa.us/fountainhill/,1,,,03/30/2020,0,"provide info on ""class dojo"" that seems school specific?",Cathy
BETHLEHEM AREA SD,PA,Thomas Jefferson El Sch,Elementary,https://basdwpweb.beth.k12.pa.us/thomasjefferson/,0,,,03/30/2020,0,,Cathy
BETHLEHEM AREA SD,PA,Freedom HS,High,https://basdwpweb.beth.k12.pa.us/freedom/,0,,,03/30/2020,0,,Cathy
BETHLEHEM AREA SD,PA,Liberty HS,High,https://basdwpweb.beth.k12.pa.us/liberty/,1,,,03/30/2020,1,website offers letter from principal,Cathy
BETHLEHEM AREA SD,PA,Broughal MS,Middle,https://basdwpweb.beth.k12.pa.us/broughal/,0,,,03/30/2020,1,"website offers letter from principal but it appears to be a standard message for middle schools (regarding ""Tier 5 parent links"")",Cathy
BETHLEHEM AREA SD,PA,East Hills MS,Middle,https://basdwpweb.beth.k12.pa.us/easthills/,0,,,03/30/2020,1,"website offers letter from principal but it appears to be a standard message for middle schools (regarding ""Tier 5 parent links"")",Cathy
DADE,FL,CLAUDE PEPPER ELEMENTARY SCHOOL,Elementary,https://claudepepper.wixsite.com/claudepepper,0,,,03/30/2020,1,downloadable Instructional Continuity Plan that is unique to the school ,Cathy
DADE,FL,BOB GRAHAM EDUCATION CENTER,Elementary,http://bgec.dadeschools.net/,NA,,,03/30/2020,,no mention of covid,Cathy
DADE,FL,BOOKER T. WASHINGTON SENIOR HIGH,High,https://www.btwtornadoes.org/,0,,,03/30/2020,0,only covid info on site is announcement for when to pick up devices for virtual learning,Cathy
DADE,FL,SOUTH MIAMI SENIOR HIGH SCHOOL,High,https://www.southmiamiseniorhigh.org/apps/news/show_news.jsp?REC_ID=618708&id=0,0,,,03/30/2020,0,links to district site,Cathy
DADE,FL,HERBERT A. AMMONS MIDDLE SCHOOL,Middle,https://www.ammonseagles.com/,1,,,03/30/2020,1,downloadable Instructional Continuity Plan that is unique to the school ,Cathy
DADE,FL,RICHMOND HEIGHTS MIDDLE SCHOOL,Middle,https://richmondheightsmiddle.com/,0,,,03/30/2020,0,link to district covid resources,Cathy
EASTSIDE UNION ELEMENTARY,CA,Tierra Bonita Elementary,Elementary,https://www.eastsideusd.org/tierrabonita,NA,,,03/31/2020,,no mention of covid,Cathy
EASTSIDE UNION ELEMENTARY,CA,Eastside Academy/Transitional Learning Center,Elementary,https://www.eastsideusd.org/eastsideacademy,NA,,,03/31/2020,,no mention of covid,Cathy
EASTSIDE UNION ELEMENTARY,CA,Gifford C. Cole Middle,Middle,https://www.eastsideusd.org/Cole,NA,,,03/31/2020,,no mention of covid,Cathy
FLEMING COUNTY,KY,Ewing Elementary School,Elementary,https://www.fleming.kyschools.us/4/Home,NA,,,03/31/2020,,no mention of covid,Cathy
FLEMING COUNTY,KY,Hillsboro Elementary School,Elementary,https://www.fleming.kyschools.us/6/Home,NA,,,03/31/2020,,no mention of covid,Cathy
FLEMING COUNTY,KY,Fleming County High School,High,https://www.fleming.kyschools.us/1/Home,NA,,,03/31/2020,,no mention of covid,Cathy
FLEMING COUNTY,KY,Simons Middle School,Middle,https://www.fleming.kyschools.us/2/Home,NA,,,03/31/2020,,no mention of covid,Cathy
FREMONT PUBLIC SCHOOL DISTRICT,MI,Pathfinder Elementary School,Elementary,https://www.fremont.net/schools/pf/,0,1,packets (delivered through Skyward) and Age of Learning,03/31/2020,,school info comes directly from district,Cathy
FREMONT PUBLIC SCHOOL DISTRICT,MI,Daisy Brook Elementary School,Elementary,https://www.fremont.net/schools/db/,0,1,packets and Age of Learning,03/31/2020,,school info comes directly from district,Cathy
FREMONT PUBLIC SCHOOL DISTRICT,MI,Quest High School,High,https://www.fremont.net/extended-school-closure/enrichment-opportunities/quest-high-school/,0,0,,03/31/2020,,school info comes directly from district,Cathy
FREMONT PUBLIC SCHOOL DISTRICT,MI,Fremont High School,High,https://www.fremont.net/extended-school-closure/enrichment-opportunities/high-school/,0,1,Khan Academy,03/31/2020,,school info comes directly from district,Cathy
