,district,state,school,level,school_link,different from district?,learning platform?,learning platform_name,date collected,pdf,notes,collected by,cleaned
0,Adelanto Elementary,CA,Eagle Ranch Elementary,Elementary,https://www.aesd.net/ers/home,0.0,Nan,Nan,03/30/2020,0,Nan,Cathy,Eagle Ranch Elementary School
1,Adelanto Elementary,CA,Adelanto Elementary,Elementary,https://www.aesd.net/aes/home,0.0,Nan,Nan,03/30/2020,0,Nan,Cathy,Adelanto Elementary School
2,Adelanto Elementary,CA,Melva Davis Academy Of Excellence,Middle,https://www.aesd.net/13/Home,0.0,Nan,Nan,03/30/2020,0,Nan,Cathy,Melva Davis Academy Of Excellence
3,Adelanto Elementary,CA,Mesa Linda Middle,Middle,https://www.aesd.net/mlms/home,0.0,Nan,Nan,03/30/2020,0,Nan,Cathy,Mesa Linda Middle School
4,Baltimore City Public Schools,MD,Hamilton Elementary/Middle,Elementary,https://www.hamiltonelementarymiddle.org/,Nan,Nan,Nan,03/30/2020,Nan,No Mention Of Covid,Cathy,Hamilton Elementary/Middle School
5,Baltimore City Public Schools,MD,Liberty Elementary,Elementary,https://libertyelementary64.weebly.com/home-resources.html,1.0,Nan,Nan,03/30/2020,0,"Have Their Own ""Home Learning Resources Page"" And Also Link To Baltimore Covid Site",Cathy,Liberty Elementary School
6,Baltimore City Public Schools,MD,Edmondson-Westside High,High,https://www.edmondson-westside.org/apps/events2/event.jsp?eREC_ID=2891782&d=2020-03-30&id=0,0.0,Nan,Nan,03/30/2020,0,"Only Have Date Of Extended School Closure, No Covid-Related Resources",Cathy,Edmondson-Westside High School
7,Baltimore City Public Schools,MD,Frederick Douglass High,High,http://www.fdhsbaltimore.org/,Nan,Nan,Nan,03/30/2020,Nan,No Mention Of Covid,Cathy,Frederick Douglass High School
8,Baltimore City Public Schools,MD,Booker T. Washington Middle,Middle,,Nan,Nan,Nan,03/30/2020,Nan,No Official School Website,Cathy,Booker T. Washington Middle School
9,Bethlehem Area Sd,PA,Fountain Hill El Sch,Elementary,https://basdwpweb.beth.k12.pa.us/fountainhill/,1.0,Nan,Nan,03/30/2020,0,"Provide Info On ""Class Dojo"" That Seems School Specific?",Cathy,Fountain Hill Elementary School
10,Bethlehem Area Sd,PA,Thomas Jefferson El Sch,Elementary,https://basdwpweb.beth.k12.pa.us/thomasjefferson/,0.0,Nan,Nan,03/30/2020,0,Nan,Cathy,Thomas Jefferson Elementary School
11,Bethlehem Area Sd,PA,Freedom Hs,High,https://basdwpweb.beth.k12.pa.us/freedom/,0.0,Nan,Nan,03/30/2020,0,Nan,Cathy,Freedom High School
12,Bethlehem Area Sd,PA,Liberty Hs,High,https://basdwpweb.beth.k12.pa.us/liberty/,1.0,Nan,Nan,03/30/2020,1,Website Offers Letter From Principal,Cathy,Liberty High School
13,Bethlehem Area Sd,PA,Broughal Ms,Middle,https://basdwpweb.beth.k12.pa.us/broughal/,0.0,Nan,Nan,03/30/2020,1,"Website Offers Letter From Principal But It Appears To Be A Standard Message For Middle Schools (Regarding ""Tier 5 Parent Links"")",Cathy,Broughal Middle School
14,Bethlehem Area Sd,PA,East Hills Ms,Middle,https://basdwpweb.beth.k12.pa.us/easthills/,0.0,Nan,Nan,03/30/2020,1,"Website Offers Letter From Principal But It Appears To Be A Standard Message For Middle Schools (Regarding ""Tier 5 Parent Links"")",Cathy,East Hills Middle School
15,Dade,FL,Claude Pepper Elementary School,Elementary,https://claudepepper.wixsite.com/claudepepper,0.0,Nan,Nan,03/30/2020,1,Downloadable Instructional Continuity Plan That Is Unique To The School ,Cathy,Claude Pepper Elementary School
16,Dade,FL,Bob Graham Education Center,Elementary,http://bgec.dadeschools.net/,Nan,Nan,Nan,03/30/2020,Nan,No Mention Of Covid,Cathy,Bob Graham Education Center
17,Dade,FL,Booker T. Washington Senior High,High,https://www.btwtornadoes.org/,0.0,Nan,Nan,03/30/2020,0,Only Covid Info On Site Is Announcement For When To Pick Up Devices For Virtual Learning,Cathy,Booker T. Washington Senior High School
18,Dade,FL,South Miami Senior High School,High,https://www.southmiamiseniorhigh.org/apps/news/show_news.jsp?REC_ID=618708&id=0,0.0,Nan,Nan,03/30/2020,0,Links To District Site,Cathy,South Miami Senior High School
19,Dade,FL,Herbert A. Ammons Middle School,Middle,https://www.ammonseagles.com/,1.0,Nan,Nan,03/30/2020,1,Downloadable Instructional Continuity Plan That Is Unique To The School ,Cathy,Herbert A. Ammons Middle School
20,Dade,FL,Richmond Heights Middle School,Middle,https://richmondheightsmiddle.com/,0.0,Nan,Nan,03/30/2020,0,Link To District Covid Resources,Cathy,Richmond Heights Middle School
21,Eastside Union Elementary,CA,Tierra Bonita Elementary,Elementary,https://www.eastsideusd.org/tierrabonita,Nan,Nan,Nan,03/31/2020,Nan,No Mention Of Covid,Cathy,Tierra Bonita Elementary School
22,Eastside Union Elementary,CA,Eastside Academy/Transitional Learning Center,Elementary,https://www.eastsideusd.org/eastsideacademy,Nan,Nan,Nan,03/31/2020,Nan,No Mention Of Covid,Cathy,Eastside Academy/Transitional Learning Center
23,Eastside Union Elementary,CA,Gifford C. Cole Middle,Middle,https://www.eastsideusd.org/Cole,Nan,Nan,Nan,03/31/2020,Nan,No Mention Of Covid,Cathy,Gifford C. Cole Middle School
24,Fleming County,KY,Ewing Elementary School,Elementary,https://www.fleming.kyschools.us/4/Home,Nan,Nan,Nan,03/31/2020,Nan,No Mention Of Covid,Cathy,Ewing Elementary School
25,Fleming County,KY,Hillsboro Elementary School,Elementary,https://www.fleming.kyschools.us/6/Home,Nan,Nan,Nan,03/31/2020,Nan,No Mention Of Covid,Cathy,Hillsboro Elementary School
26,Fleming County,KY,Fleming County High School,High,https://www.fleming.kyschools.us/1/Home,Nan,Nan,Nan,03/31/2020,Nan,No Mention Of Covid,Cathy,Fleming County High School
27,Fleming County,KY,Simons Middle School,Middle,https://www.fleming.kyschools.us/2/Home,Nan,Nan,Nan,03/31/2020,Nan,No Mention Of Covid,Cathy,Simons Middle School
28,Fremont Public School District,MI,Pathfinder Elementary School,Elementary,https://www.fremont.net/schools/pf/,0.0,1.0,Packets (Delivered Through Skyward) And Age Of Learning,03/31/2020,Nan,School Info Comes Directly From District,Cathy,Pathfinder Elementary School
29,Fremont Public School District,MI,Daisy Brook Elementary School,Elementary,https://www.fremont.net/schools/db/,0.0,1.0,Packets And Age Of Learning,03/31/2020,Nan,School Info Comes Directly From District,Cathy,Daisy Brook Elementary School
30,Fremont Public School District,MI,Quest High School,High,https://www.fremont.net/extended-school-closure/enrichment-opportunities/quest-high-school/,0.0,0.0,Nan,03/31/2020,Nan,School Info Comes Directly From District,Cathy,Quest High School
31,Fremont Public School District,MI,Fremont High School,High,https://www.fremont.net/extended-school-closure/enrichment-opportunities/high-school/,0.0,1.0,Khan Academy,03/31/2020,Nan,School Info Comes Directly From District,Cathy,Fremont High School
32,Fremont Public School District,MI,Fremont Middle School,Middle,https://www.fremont.net/extended-school-closure/enrichment-opportunities/middle-school/,0.0,0.0,Nan,03/31/2020,Nan,School Info Comes Directly From District,Cathy,Fremont Middle School
33,Frisco Isd,TX,Christie El,Elementary,http://schools.friscoisd.org/campus/elementary/christie/covid-19-information,1.0,1.0,"Google Docs, Youtube",03/31/2020,0,Nan,Nicole,Christie Elementary School
34,Frisco Isd,TX,Scott El,Elementary,http://schools.friscoisd.org/campus/elementary/scott/covid-19-information,1.0,0.0,Nan,03/31/2020,0,Nan,Nicole,Scott Elementary School
35,Frisco Isd,TX,Memorial H S,High,http://schools.friscoisd.org/campus/high-school/memorial/covid-19-information,1.0,0.0,Nan,03/31/0202,0,Nan,Nicole,Memorial High School
36,Frisco Isd,TX,Lebanon Trail H S,High,http://schools.friscoisd.org/campus/high-school/lebanon-trail/covid-19-information,1.0,0.0,Nan,03/31/2020,0,Nan,Nicole,Lebanon Trail High School
37,Frisco Isd,TX,Clark Middle,Middle,http://schools.friscoisd.org/campus/middle-school/clark/covid-19-information,1.0,1.0,"Canvas, Google Docs",03/31/2020,0,Nan,Nicole,Clark Middle School
38,Frisco Isd,TX,Nelson Middle,Middle,http://schools.friscoisd.org/campus/middle-school/nelson/covid-19-information,1.0,1.0,"Canvas, Google Docs",03/31/2020,0,Nan,Nicole,Nelson Middle School
39,Galva Cusd 224,IL,Galva Elem School,Elementary,https://www.galva224.org/elementary.html,Nan,0.0,Nan,03/31/2020,0,Nan,Nicole,Galva Elem School
40,Galva Cusd 224,IL,Galva Jr-Sr High School,High,https://www.galva224.org/jrsr-high.html,Nan,0.0,Nan,03/31/2020,0,Nan,Nicole,Galva Jr-Sr High School
41,Guilford County Schools,NC,Archer Elementary,Elementary,https://www.gcsnc.com/archer_elementary,0.0,0.0,Nan,03/31/2020,0,"Only Mention Of Covid Is In News Section On Home Page, But No School Specific Info",Nicole,Archer Elementary School
