,rand_urban_dist,rand_non_urb_dist,leaid,nlscdsch,sch_name,lea_name,lcity,fipst,lstate,cnty,nmcnty,lat,lon,lstreet,lzip,title_one,sch_level,gslo,gshi,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10,g11,g12,school_sample
3,1.0,,4108830,410883001583,New Urban High School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.417068,-122.64321899999999,1901 SE Oak Grove Blvd,97267,0.0,High,9,12,,,,,,,,,13.0,30.0,41.0,73.0,1
4,1.0,,4108830,410883000092,Rowe Middle School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.432854999999996,-122.626616,3606 SE Lake Rd,97222,0.0,Middle,6,8,,,,,,267.0,255.0,260.0,,,,,1
12,1.0,,4108830,410883000084,Riverside Elementary School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.404482,-122.639532,16303 SE River Rd,97267,1.0,Elementary,KG,5,71.0,66.0,67.0,86.0,70.0,,,,,,,,1
16,1.0,,4108830,410883000008,Oregon Trail Elementary School,NORTH CLACKAMAS SD 12,CLACKAMAS,41,OR,41005,CLACKAMAS COUNTY,45.421934,-122.508347,13895 SE 152nd Dr,97015,0.0,Elementary,KG,5,109.0,83.0,80.0,93.0,80.0,,,,,,,,1
17,1.0,,4108830,410883004189,Alder Creek Middle School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.423276,-122.594246,13801 SE Webster Rd,97267,0.0,Middle,6,8,,,,,,324.0,333.0,302.0,,,,,1
21,1.0,,4108830,410883000094,Milwaukie High School,NORTH CLACKAMAS SD 12,MILWAUKIE,41,OR,41005,CLACKAMAS COUNTY,45.441119,-122.63751,2301 SE Willard St.,97222,0.0,High,9,12,,,,,,,,,221.0,234.0,219.0,257.0,1
154,2.0,,1200390,120039003163,HERBERT A. AMMONS MIDDLE SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.600952,-80.422802,17990 SW 142ND AVE,33177,1.0,Middle,6,8,,,,,,401.0,277.0,397.0,,,,,1
221,2.0,,1200390,120039003831,BOB GRAHAM EDUCATION CENTER,DADE,MIAMI LAKES,12,FL,12086,MIAMI-DADE COUNTY,25.917398000000002,-80.328303,15901 NW 79TH AVE,33016,1.0,Elementary,PK,8,159.0,160.0,193.0,194.0,186.0,208.0,218.0,225.0,,,,,1
259,2.0,,1200390,120039000613,SOUTH MIAMI SENIOR HIGH SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.720420999999998,-80.305269,6856 SW 53RD ST,33155,1.0,High,9,12,,,,,,,,,501.0,543.0,554.0,527.0,1
289,2.0,,1200390,120039000579,RICHMOND HEIGHTS MIDDLE SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.629824,-80.359445,15015 SW 103RD AVE,33176,1.0,Middle,6,8,,,,,,157.0,165.0,188.0,,,,,1
371,2.0,,1200390,120039002806,CLAUDE PEPPER ELEMENTARY SCHOOL,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.676226999999997,-80.429949,14550 SW 96TH ST,33186,1.0,Elementary,PK,5,88.0,83.0,80.0,105.0,90.0,,,,,,,,1
421,2.0,,1200390,120039003562,BOOKER T. WASHINGTON SENIOR HIGH,DADE,MIAMI,12,FL,12086,MIAMI-DADE COUNTY,25.786123,-80.204196,1200 NW 6TH AVE,33136,1.0,High,9,12,,,,,,,,,254.0,248.0,240.0,234.0,1
474,3.0,,2400090,240009000209,Frederick Douglass High,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE,24,MD,24510,BALTIMORE CITY,39.314815,-76.654892,2301 Gwynns Falls Pky,21217,1.0,High,9,12,,,,,,,,,233.0,234.0,225.0,214.0,1
489,3.0,,2400090,240009000194,Edmondson-Westside High,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE,24,MD,24510,BALTIMORE CITY,39.29139,-76.688034,501 N Athol Ave,21229,1.0,High,9,12,,,,,,,,,225.0,225.0,258.0,215.0,1
520,3.0,,2400090,240009000160,Booker T. Washington Middle,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE,24,MD,24510,BALTIMORE CITY,39.303187,-76.627876,1301 Mcculloh St,21217,1.0,Middle,6,8,,,,,,73.0,76.0,71.0,,,,,1
537,3.0,,2400090,240009000270,Liberty Elementary,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE,24,MD,24510,BALTIMORE CITY,39.325973,-76.683486,3901 Maine Ave,21207,1.0,Elementary,PK,5,66.0,74.0,63.0,88.0,67.0,,,,,,,,1
540,3.0,,2400090,240009000231,Hamilton Elementary/Middle,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE,24,MD,24510,BALTIMORE CITY,39.359768,-76.557694,6101 Old Harford Rd,21214,0.0,Elementary,PK,8,57.0,90.0,83.0,86.0,76.0,109.0,104.0,94.0,,,,,1
564,4.0,,2507290,250729001127,Sippican,MARION,MARION,25,MA,25023,PLYMOUTH COUNTY,41.703759000000005,-70.768089,16 Spring Street,2738,1.0,Elementary,PK,6,61.0,61.0,54.0,61.0,73.0,61.0,,,,,,,1
635,5.0,,2400480,240048000803,Chevy Chase Elementary,MONTGOMERY COUNTY PUBLIC SCHOOLS,CHEVY CHASE,24,MD,24031,MONTGOMERY COUNTY,38.978634,-77.080287,4015 Rosemary St,20815,0.0,Elementary,3,5,,,105.0,166.0,152.0,,,,,,,,1
672,5.0,,2400480,240048001040,Northwest High,MONTGOMERY COUNTY PUBLIC SCHOOLS,GERMANTOWN,24,MD,24031,MONTGOMERY COUNTY,39.151843,-77.279489,13501 Richter Farm Rd,20874,0.0,High,9,12,,,,,,,,,709.0,618.0,592.0,589.0,1
679,5.0,,2400480,240048001447,Robert Frost Middle School,MONTGOMERY COUNTY PUBLIC SCHOOLS,ROCKVILLE,24,MD,24031,MONTGOMERY COUNTY,39.075957,-77.187405,9201 Scott Dr,20850,0.0,Middle,6,8,,,,,,315.0,388.0,380.0,,,,,1
693,5.0,,2400480,240048000903,Ridgeview Middle,MONTGOMERY COUNTY PUBLIC SCHOOLS,GAITHERSBURG,24,MD,24031,MONTGOMERY COUNTY,39.127714000000005,-77.249307,16600 Raven Rock Dr,20878,0.0,Middle,6,8,,,,,,228.0,246.0,230.0,,,,,1
719,5.0,,2400480,240048000773,Albert Einstein High,MONTGOMERY COUNTY PUBLIC SCHOOLS,KENSINGTON,24,MD,24031,MONTGOMERY COUNTY,39.039079,-77.067288,11135 Newport Mill Rd,20895,1.0,High,9,12,,,,,,,,,515.0,483.0,365.0,440.0,1
