random_order,id,sch_level,dist_id,dist_name,sch_name,lstate,county,city,lat,lon,street,zip,private
1,470318002263,Middle,4703180,DAVIDSON COUNTY,Liberty Collegiate Academy,TN,DAVIDSON COUNTY,NASHVILLE,36,-87,3515 Gallatin RD,37206,
2,A1102422,Combined elem/sec,,,WYOMING BEHAVIORAL INSTITUTE,WY,NATRONA,CASPER,43,-106,2521 E 15TH ST,82609,1
3,A1100968,Combined elem/sec,,,THE SAGE SCHOOL,ID,BLAINE,HAILEY,44,-114,PO BOX 30,83333,1
4,411215001156,Elementary,4100048,NORTH WASCO COUNTY SD 21,Dry Hollow Elementary School,OR,WASCO COUNTY,THE DALLES,46,-121,1314 E 19th St,97058,
5,A9302514,Combined elem/sec,,,THW LOGAN SCHOOL FOR CREATIVE LEARNING,CO,DENVER,DENVER,40,-105,1005 YOSEMITE ST,80230,1
6,410600001571,High,4106000,GRESHAM-BARLOW SD 10J,Center for Advanced Learning,OR,MULTNOMAH COUNTY,GRESHAM,46,-122,1484 NW Civic Dr,97030,
7,231480823134,High,2314808,MAINE ACADEMY OF NATURAL SCIENCES,Maine Academy of Natural Sciences,ME,SOMERSET COUNTY,HINCKLEY,45,-70,13 Easler Drive,4944,
8,A9903491,Combined elem/sec,,,TOLEDO ISLAMIC ACADEMY,OH,LUCAS,SYLVANIA,42,-84,5225 W. ALEXIS RD,43560,1
9,401356000631,Middle,4013560,GUTHRIE,GUTHRIE UPPER ES,OK,LOGAN COUNTY,GUTHRIE,36,-97,702 North Crooks Drive,73044,
10,A0303168,Elementary,,,IQRA ACADEMY OF UTAH,UT,SALT LAKE,SALT LAKE CITY,41,-112,3990 S CONSTITUTION BLVD,84119,1
11,465526001353,Elementary,4655260,PIERRE SCHOOL DISTRICT 32-2,Kennedy Elementary - 08,SD,HUGHES COUNTY,PIERRE,44,-100,2306 Brookstone Loop,57501,
12,200636001386,Elementary,2006360,GALENA,Spring Grove Primary Center,KS,CHEROKEE COUNTY,GALENA,37,-95,1900 Galena Ave.,66739,
13,130174004142,Elementary,1301740,DEKALB COUNTY,GLOBE Academy Charter School I,GA,DEKALB COUNTY,ATLANTA,34,-84,2225 Heritage Dr NE,30345,
14,530126003649,High,5301260,CHEWELAH SCHOOL DISTRICT,Chewelah Open Doors Reengagement Program,WA,,CHEWELAH,48,-118,W 106 Lincoln St,99109,
15,220005402270,High,2200156,VOICES FOR INTERNATIONAL BUSINESS & EDUCATION,International High School of New Orleans,LA,ORLEANS PARISH,NEW ORLEANS,30,-90,727 Carondelet Street,70130,
16,120177008089,High,1201770,ST. LUCIE,SOMERSET COLLEGE PREPARATORY ACADEMY,FL,ST. LUCIE COUNTY,PORT SAINT LUCIE,27,-80,725 NW CALIFORNIA BLVD,34986,
17,260097008196,Elementary,2600970,LEELANAU MONTESSORI PUBLIC SCHOOL ACADEMY,Leelanau Montessori Public School Academy,MI,LEELANAU COUNTY,SUTTONS BAY,45,-86,310 S Elm St,49682,
