random_order,id,level,dist_id,district,school,state,county,city,address,zip,cleaned
1,470318002263,Middle,4703180.0,Davidson County,Liberty Collegiate Academy,TN,Davidson County,Nashville,3515 Gallatin RD,37206,Liberty Collegiate Academy
2,A1102422,Combined Elem/Sec,Nan,Nan,Wyoming Behavioral Institute,WY,Natrona,Casper,2521 E 15TH ST,82609,Wyoming Behavioral Institute
3,A1100968,Combined Elem/Sec,Nan,Nan,The Sage School,ID,Blaine,Hailey,PO BOX 30,83333,The Sage School
4,411215001156,Elementary,4100048.0,North Wasco County Sd 21,Dry Hollow Elementary School,OR,Wasco County,The Dalles,1314 E 19th St,97058,Dry Hollow Elementary School
5,A9302514,Combined Elem/Sec,Nan,Nan,Thw Logan School For Creative Learning,CO,Denver,Denver,1005 YOSEMITE ST,80230,Thw Logan School For Creative Learning
6,410600001571,High,4106000.0,Gresham-Barlow Sd 10J,Center For Advanced Learning,OR,Multnomah County,Gresham,1484 NW Civic Dr,97030,Center For Advanced Learning
7,231480823134,High,2314808.0,Maine Academy Of Natural Sciences,Maine Academy Of Natural Sciences,ME,Somerset County,Hinckley,13 Easler Drive,04944,Maine Academy Of Natural Sciences
8,A9903491,Combined Elem/Sec,Nan,Nan,Toledo Islamic Academy,OH,Lucas,Sylvania,5225 W. ALEXIS RD,43560,Toledo Islamic Academy
9,401356000631,Middle,4013560.0,Guthrie,Guthrie Upper Es,OK,Logan County,Guthrie,702 North Crooks Drive,73044,Guthrie Upper Elementary School
10,A0303168,Elementary,Nan,Nan,Iqra Academy Of Utah,UT,Salt Lake,Salt Lake City,3990 S CONSTITUTION BLVD,84119,Iqra Academy Of Utah
11,465526001353,Elementary,4655260.0,Pierre School District 32-2,Kennedy Elementary - 08,SD,Hughes County,Pierre,2306 Brookstone Loop,57501,Kennedy Elementary - 08
12,200636001386,Elementary,2006360.0,Galena,Spring Grove Primary Center,KS,Cherokee County,Galena,1900 Galena Ave.,66739,Spring Grove Primary Center
13,130174004142,Elementary,1301740.0,Dekalb County,Globe Academy Charter School I,GA,Dekalb County,Atlanta,2225 Heritage Dr NE,30345,Globe Academy Charter School I
14,530126003649,High,5301260.0,Chewelah School District,Chewelah Open Doors Reengagement Program,WA,Nan,Chewelah,W 106 Lincoln St,99109,Chewelah Open Doors Reengagement Program
15,220005402270,High,2200156.0,Voices For International Business & Education,International High School Of New Orleans,LA,Orleans Parish,New Orleans,727 Carondelet Street,70130,International High School Of New Orleans
16,120177008089,High,1201770.0,St. Lucie,Somerset College Preparatory Academy,FL,St. Lucie County,Port Saint Lucie,725 NW CALIFORNIA BLVD,34986,Somerset College Preparatory Academy
17,260097008196,Elementary,2600970.0,Leelanau Montessori Public School Academy,Leelanau Montessori Public School Academy,MI,Leelanau County,Suttons Bay,310 S Elm St,49682,Leelanau Montessori Public School Academy
